Transaction_ID,Date,State,City,Station_ID,Fuel_Type,Customer_Type,Vehicle_Type,Quantity_Litres,Price_Per_Litre,Revenue,Payment_Mode,Column1,Column2,Month
TXN000001,2025-05-26,Telangana,Hyderabad,ST008,Petrol,Commercial,Auto,15.71,109.53,1720.72,Cash,0,Mismatch,May 2025
TXN000002,2025-06-16,Karnataka,Bengaluru,ST045,E20,Commercial,Car,31.65,104.98,3322.62,Cash,1,Mismatch,Jun 2025
TXN000003,2025-02-13,Maharashtra,Pune,ST025,Petrol,Individual,Auto,28.86,109.03,3146.61,UPI,2,Mismatch,Feb 2025
TXN000004,2025-04-14,Telangana,Hyderabad,ST036,Diesel,Commercial,Bus,4.75,97.21,461.75,UPI,3,Mismatch,Apr 2025
TXN000005,2025-03-29,Telangana,Hyderabad,ST013,Petrol,Individual,Auto,4.91,109.91,539.66,UPI,4,Mismatch,Mar 2025
TXN000006,2025-01-18,Maharashtra,Pune,ST034,E20,Individual,Bus,79.76,107.04,8537.51,Card,5,Mismatch,Jan 2025
TXN000007,2025-06-03,Telangana,Hyderabad,ST042,Petrol,Individual,Car,58.45,110.26,6444.7,Cash,6,Mismatch,Jun 2025
TXN000008,2025-01-13,Maharashtra,Pune,ST037,Diesel,Individual,Auto,43.94,95.13,4180.01,Card,7,Mismatch,Jan 2025
TXN000009,2025-03-05,Andhra Pradesh,Visakhapatnam,ST036,Diesel,Commercial,Auto,65.72,94.35,6200.68,Card,8,Mismatch,Mar 2025
TXN000010,2025-01-20,Tamil Nadu,Chennai,ST047,E20,Individual,Car,42.64,105.02,4478.05,Cash,9,Mismatch,Jan 2025
TXN000011,2025-06-09,Telangana,Hyderabad,ST024,Diesel,Commercial,Bike,47.06,95.59,4498.47,Cash,10,Mismatch,Jun 2025
TXN000012,2025-03-11,Karnataka,Bengaluru,ST048,Petrol,Individual,Auto,26.39,107.04,2824.79,Cash,11,Mismatch,Mar 2025
TXN000013,2025-04-15,Telangana,Hyderabad,ST032,Petrol,Commercial,Car,24.92,108.81,2711.55,UPI,12,Mismatch,Apr 2025
TXN000014,2025-01-08,Telangana,Hyderabad,ST038,E20,Individual,Bus,61.45,105.48,6481.75,Card,13,Mismatch,Jan 2025
TXN000015,2025-04-25,Maharashtra,Pune,ST014,E20,Individual,Bus,21.92,105.8,2319.14,Card,14,Mismatch,Apr 2025
TXN000016,2025-04-04,Andhra Pradesh,Visakhapatnam,ST027,E20,Commercial,Truck,4.05,107.1,433.75,Cash,15,Mismatch,Apr 2025
TXN000017,2025-04-06,Tamil Nadu,Chennai,ST026,Diesel,Commercial,Auto,27.47,97.36,2674.48,Cash,16,Mismatch,Apr 2025
TXN000018,2025-02-10,Tamil Nadu,Chennai,ST020,E20,Individual,Bike,70.32,108.75,7647.3,Card,17,Mismatch,Feb 2025
TXN000019,2025-01-10,Tamil Nadu,Chennai,ST044,Petrol,Individual,Car,24.66,109.56,2701.75,Card,18,Mismatch,Jan 2025
